"REF_DATE","GEO","DGUID","Rental unit type","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-01","St. John's, Census metropolitan area (CMA)","2021S0503001","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299225","1.6.1","","..","","","0"
"2019-01","St. John's, Census metropolitan area (CMA)","2021S0503001","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299226","1.7.1","","..","","","0"
"2019-01","St. John's, Census metropolitan area (CMA)","2021S0503001","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675424961","1.1.1","","..","","","0"
"2019-01","St. John's, Census metropolitan area (CMA)","2021S0503001","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675424962","1.2.1","800","","","","0"
"2019-01","St. John's, Census metropolitan area (CMA)","2021S0503001","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675424963","1.3.1","900","","","","0"
"2019-01","St. John's, Census metropolitan area (CMA)","2021S0503001","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675424964","1.4.1","1150","","","","0"
"2019-01","St. John's, Census metropolitan area (CMA)","2021S0503001","Room","Average asking rent","Dollars","81","units","0","v1675424965","1.5.1","470","","","","0"
"2019-01","Halifax, Census metropolitan area (CMA)","2021S0503205","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299227","2.6.1","1090","E","","","0"
"2019-01","Halifax, Census metropolitan area (CMA)","2021S0503205","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299228","2.7.1","1750","","","","0"
"2019-01","Halifax, Census metropolitan area (CMA)","2021S0503205","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675424966","2.1.1","910","","","","0"
"2019-01","Halifax, Census metropolitan area (CMA)","2021S0503205","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675424967","2.2.1","1040","","","","0"
"2019-01","Halifax, Census metropolitan area (CMA)","2021S0503205","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675424968","2.3.1","1290","","","","0"
"2019-01","Halifax, Census metropolitan area (CMA)","2021S0503205","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675424969","2.4.1","1480","","","","0"
"2019-01","Halifax, Census metropolitan area (CMA)","2021S0503205","Room","Average asking rent","Dollars","81","units","0","v1675424970","2.5.1","590","","","","0"
"2019-01","Fredericton, Census metropolitan area (CMA)","2021S0503320","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299235","3.6.1","","..","","","0"
"2019-01","Fredericton, Census metropolitan area (CMA)","2021S0503320","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299236","3.7.1","","..","","","0"
"2019-01","Fredericton, Census metropolitan area (CMA)","2021S0503320","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675424986","3.1.1","","..","","","0"
"2019-01","Fredericton, Census metropolitan area (CMA)","2021S0503320","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675424987","3.2.1","750","","","","0"
"2019-01","Fredericton, Census metropolitan area (CMA)","2021S0503320","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675424988","3.3.1","1010","","","","0"
"2019-01","Fredericton, Census metropolitan area (CMA)","2021S0503320","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675424989","3.4.1","1410","","","","0"
"2019-01","Fredericton, Census metropolitan area (CMA)","2021S0503320","Room","Average asking rent","Dollars","81","units","0","v1675424990","3.5.1","450","","","","0"
"2019-01","Moncton, Census metropolitan area (CMA)","2021S0503305","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299231","4.6.1","","..","","","0"
"2019-01","Moncton, Census metropolitan area (CMA)","2021S0503305","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299232","4.7.1","1260","","","","0"
"2019-01","Moncton, Census metropolitan area (CMA)","2021S0503305","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675424976","4.1.1","","..","","","0"
"2019-01","Moncton, Census metropolitan area (CMA)","2021S0503305","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675424977","4.2.1","750","","","","0"
"2019-01","Moncton, Census metropolitan area (CMA)","2021S0503305","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675424978","4.3.1","860","","","","0"
"2019-01","Moncton, Census metropolitan area (CMA)","2021S0503305","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675424979","4.4.1","1150","E","","","0"
"2019-01","Moncton, Census metropolitan area (CMA)","2021S0503305","Room","Average asking rent","Dollars","81","units","0","v1675424980","4.5.1","450","","","","0"
"2019-01","Saint John, Census metropolitan area (CMA)","2021S0503310","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299233","5.6.1","","..","","","0"
"2019-01","Saint John, Census metropolitan area (CMA)","2021S0503310","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299234","5.7.1","","..","","","0"
"2019-01","Saint John, Census metropolitan area (CMA)","2021S0503310","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675424981","5.1.1","","..","","","0"
"2019-01","Saint John, Census metropolitan area (CMA)","2021S0503310","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675424982","5.2.1","720","","","","0"
"2019-01","Saint John, Census metropolitan area (CMA)","2021S0503310","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675424983","5.3.1","930","","","","0"
"2019-01","Saint John, Census metropolitan area (CMA)","2021S0503310","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675424984","5.4.1","1000","","","","0"
"2019-01","Saint John, Census metropolitan area (CMA)","2021S0503310","Room","Average asking rent","Dollars","81","units","0","v1675424985","5.5.1","450","","","","0"
"2019-01","Drummondville, Census metropolitan area (CMA)","2021S0503447","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299247","6.6.1","","..","","","0"
"2019-01","Drummondville, Census metropolitan area (CMA)","2021S0503447","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299248","6.7.1","","..","","","0"
"2019-01","Drummondville, Census metropolitan area (CMA)","2021S0503447","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675425016","6.1.1","","..","","","0"
"2019-01","Drummondville, Census metropolitan area (CMA)","2021S0503447","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675425017","6.2.1","","..","","","0"
"2019-01","Drummondville, Census metropolitan area (CMA)","2021S0503447","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675425018","6.3.1","600","","","","0"
"2019-01","Drummondville, Census metropolitan area (CMA)","2021S0503447","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675425019","6.4.1","","..","","","0"
"2019-01","Drummondville, Census metropolitan area (CMA)","2021S0503447","Room","Average asking rent","Dollars","81","units","0","v1675425020","6.5.1","360","E","","","0"
"2019-01","Montréal, Census metropolitan area (CMA)","2021S0503462","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299249","7.6.1","","..","","","0"
"2019-01","Montréal, Census metropolitan area (CMA)","2021S0503462","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299250","7.7.1","1980","","","","0"
"2019-01","Montréal, Census metropolitan area (CMA)","2021S0503462","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675425021","7.1.1","860","","","","0"
"2019-01","Montréal, Census metropolitan area (CMA)","2021S0503462","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675425022","7.2.1","980","","","","0"
"2019-01","Montréal, Census metropolitan area (CMA)","2021S0503462","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675425023","7.3.1","1130","","","","0"
"2019-01","Montréal, Census metropolitan area (CMA)","2021S0503462","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675425024","7.4.1","1610","","","","0"
"2019-01","Montréal, Census metropolitan area (CMA)","2021S0503462","Room","Average asking rent","Dollars","81","units","0","v1675425025","7.5.1","510","","","","0"
"2019-01","Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)","2021S050524505","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299229","8.6.1","","..","","","0"
"2019-01","Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)","2021S050524505","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299230","8.7.1","1540","","","","0"
"2019-01","Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)","2021S050524505","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675424971","8.1.1","680","E","","","0"
"2019-01","Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)","2021S050524505","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675424972","8.2.1","830","","","","0"
"2019-01","Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)","2021S050524505","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675424973","8.3.1","980","","","","0"
"2019-01","Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)","2021S050524505","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675424974","8.4.1","1170","","","","0"
"2019-01","Ottawa - Gatineau (Quebec part), Census metropolitan area (CMA)","2021S050524505","Room","Average asking rent","Dollars","81","units","0","v1675424975","8.5.1","510","","","","0"
"2019-01","Québec, Census metropolitan area (CMA)","2021S0503421","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299241","9.6.1","","..","","","0"
"2019-01","Québec, Census metropolitan area (CMA)","2021S0503421","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299242","9.7.1","1410","","","","0"
"2019-01","Québec, Census metropolitan area (CMA)","2021S0503421","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675425001","9.1.1","620","","","","0"
"2019-01","Québec, Census metropolitan area (CMA)","2021S0503421","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675425002","9.2.1","710","","","","0"
"2019-01","Québec, Census metropolitan area (CMA)","2021S0503421","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675425003","9.3.1","840","","","","0"
"2019-01","Québec, Census metropolitan area (CMA)","2021S0503421","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675425004","9.4.1","","..","","","0"
"2019-01","Québec, Census metropolitan area (CMA)","2021S0503421","Room","Average asking rent","Dollars","81","units","0","v1675425005","9.5.1","400","","","","0"
"2019-01","Saguenay, Census metropolitan area (CMA)","2021S0503408","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299239","10.6.1","","..","","","0"
"2019-01","Saguenay, Census metropolitan area (CMA)","2021S0503408","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299240","10.7.1","","..","","","0"
"2019-01","Saguenay, Census metropolitan area (CMA)","2021S0503408","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675424996","10.1.1","","..","","","0"
"2019-01","Saguenay, Census metropolitan area (CMA)","2021S0503408","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675424997","10.2.1","","..","","","0"
"2019-01","Saguenay, Census metropolitan area (CMA)","2021S0503408","Apartment - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1675424998","10.3.1","","..","","","0"
"2019-01","Saguenay, Census metropolitan area (CMA)","2021S0503408","Apartment - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1675424999","10.4.1","","..","","","0"
"2019-01","Saguenay, Census metropolitan area (CMA)","2021S0503408","Room","Average asking rent","Dollars","81","units","0","v1675425000","10.5.1","340","","","","0"
"2019-01","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","House - 2 bedrooms","Average asking rent","Dollars","81","units","0","v1810299243","11.6.1","","..","","","0"
"2019-01","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","House - 3 or more bedrooms","Average asking rent","Dollars","81","units","0","v1810299244","11.7.1","","..","","","0"
"2019-01","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","Apartment - No bedroom","Average asking rent","Dollars","81","units","0","v1675425006","11.1.1","450","","","","0"
"2019-01","Sherbrooke, Census metropolitan area (CMA)","2021S0503433","Apartment - 1 bedroom","Average asking rent","Dollars","81","units","0","v1675425007","11.2.1","540","","","","0"
